name,line
SHERLOCK," ... says trained at Bart’s, so Army doctor, obvious. "
SHERLOCK," Your limp’s really bad when you walk but you don’t ask for a chair when you stand, like you’ve forgotten about it. That means the limp is at least partly psychosomatic. That says the original circumstances of the injury were traumatising. Wounded in action, then. So: where does an Army doctor get himself a suntan and wounded in action these days? Afghanistan or Iraq. "
JOHN, You said I had a therapist. 
SHERLOCK, You’ve got a psychosomatic limp – of course you’ve got a therapist. 
SHERLOCK, Then there’s your brother. 
SHERLOCK," Scratches. Not just one, but many over time. It’s been in the same pocket as keys and coins. The man sitting beside me wouldn’t treat his one luxury item like this. It’s had a previous owner, then. The next bit’s easy. You know it already. "
JOHN, The engraving. 
SHERLOCK," Harry Watson: clearly a family member who’s given you his old phone. Not your father; this is a young man’s gadget. Could be a cousin, but then you’re a war hero returning home who can’t find a place to live. Unlikely you’ve got an extended family, certainly not one you’re close to, so brother it is. Now, Clara. Who’s Clara? Three kisses says it’s a romantic attachment. The expense of the phone says wife, not girlfriend. She’s given this to him recently – the model’s only six months old. So, it’s a marriage in trouble, then – six months on he’s just given it away. If she’d left him, he’d have kept the phone, probably. People do – sentiment. But no, he wanted rid of it. He left her. He gave the phone to you; that says he wants you to stay in touch. He’s worried about you. "
SHERLOCK," You’re looking for cheap accommodation, but you won’t go to your brother for help. That says you’ve got problems with him. "
SHERLOCK, Maybe you liked his wife; maybe you don’t like his drinking. 
JOHN, How can you possibly know about the drinking? 
SHERLOCK," Shot in the dark. Good one, though. "
 Power connection, tiny scuff marks around the edge of it. 
SHERLOCK, Every night he plugs it in to recharge but his hands are shaking. You never see those marks on a sober man’s phone; never see a drunk’s without them. 
SHERLOCK," There you go, you see – you were right. "
JOHN, I was right? Right about what? 
SHERLOCK, The police don’t consult amateurs. 
JOHN, That was ... amazing. 
SHERLOCK, Do you think so? 
JOHN, Of course it was! It was extraordinary! It was quite extraordinary! 
JOHN, What do they usually say? 
SHERLOCK, ‘Piss off’! 
SHERLOCK, Did I get anything wrong? 
JOHN," Harry and me don’t get on, never have. Harry and Clara are getting a divorce – split up three months ago; Harry’s a drinker. "
JOHN, Harry’s short for Harriet. 
SHERLOCK, Harry’s your sister? 
JOHN," Now, what exactly am I supposed to be doing here? "
JOHN," No, seriously, why am I here? "
DONOVAN," Hello, freak. "
SHERLOCK, I’m here to see Inspector Lestrade. 
DONOVAN, Why? 
SHERLOCK, I was invited. 
DONOVAN, Why? 
SHERLOCK," Colleague of mine, Doctor Watson. Doctor Watson, Sergeant Sally Donovan. (His voice drips with sarcasm.) Old friend. "
DONOVAN, A colleague? How did you get a colleague?! 
DONOVAN, Did he follow you home? 
JOHN, Would it be better if I just go ... 
SHERLOCK," Ah, Anderson. Here we are again. "
ANDERSON, It’s a crime scene. I don’t want it contaminated. Are we clear on that? 
SHERLOCK, Quite clear. 
ANDERSON, Your magic tricks might impress Inspector Lestrade – they don’t work on me. 
SHERLOCK, And is your wife away for long? 
ANDERSON," Oh, don’t pretend you worked that out. Someone told you that. "
SHERLOCK, Your deodorant told me that. 
ANDERSON, My deodorant? 
SHERLOCK, It’s for men. 
ANDERSON," Well, of course it’s for men! I’m wearing it! "
SHERLOCK, So’s Sergeant Donovan. 
SHERLOCK," Ooh, and I think it just vaporised. May I go in? "
ANDERSON, Whatever it is you’re trying to imply ... 
SHERLOCK," And I assume she scrubbed your floors, going by the state of her knees. "
LESTRADE, You have two minutes. 
SHERLOCK, May need longer. 
SHERLOCK, Put this on. 
LESTRADE, Who’s this? 
LESTRADE," Yeah, but who is he? "
SHERLOCK, I told you; he’s with me. 
SHERLOCK," So, where are we? "
LESTRADE," Footprint analysis says that the only other person in this room in the last twelve hours was a man of about five foot seven. It seemed that he and the victim arrived together by car. All identification’s missing from the body, just like the others. Have no idea who she is or where she’s from."
SHERLOCK," Well, she’s from out of town, clearly. Planned to spend a single night in London before returning home. So far, so obvious."
LESTRADE, Obvious?
SHERLOCK," Yes, obvious. Back of the right leg."
SHERLOCK," Doctor Watson, what do you think?"
JOHN, What do I think?
SHERLOCK, You’re the medical man.
LESTRADE, We have a whole team right outside.
LESTRADE," Look, I’m breaking every rule letting you in here."
LESTRADE," Yes, I do, God help me."
SHERLOCK, John.
SHERLOCK, Well?
JOHN, Fun? There’s a woman lying dead.
SHERLOCK," No, there are two women and three men lying dead. Keep talking and there’ll be more. (Louder, so that Lestrade can hear him) Now, cause of death."
JOHN," Asphyxiation, probably. She passed out and choked on her own vomit. I can’t smell any alcohol on her. Could be a seizure; possibly drugs."
SHERLOCK, It was poison.
JOHN, How do you know?
SHERLOCK, Because they were all poisoned.
JOHN, By who?
SHERLOCK, By themselves.
JOHN, Themselves?
LESTRADE, We’ve identified the drug ...
SHERLOCK, Same pattern each time.
SHERLOCK," Each one of them disappears from their normal lives ... (he bends closer and sniffs at her palm and nails) ... from the theatre, from their home, from the office, from the pub ..."
SHERLOCK, ... then turn up a few hours later somewhere they’ve no reason to be ...
SHERLOCK," No marks of violence on the body, no suggestion of compulsion."
SHERLOCK," Each of them has taken the same poison – and, as far as we can tell, taken it voluntarily."
LESTRADE," Sherlock – two minutes, I said. I need anything you’ve got."
SHERLOCK," Okay, take this down."
SHERLOCK, I’m not gonna write it down.
SHERLOCK," Thank you. The victim is in her early thirties. A professional person, going by her clothes; I’d guess something in the media, going by the frankly alarming shade of pink. She’s travelled from Cardiff today, intending to stay in London for one night. That’s obvious from the size of her suitcase."
LESTRADE, Suitcase?
SHERLOCK," Her suitcase, yes. "
SHERLOCK," She’s been married several years, but not happily. She’s had a string of lovers but none of them knew she was married."
LESTRADE," For God’s sake, if you’re just making this up ..."
LESTRADE, Cardiff?
JOHN, It’s not obvious to me.
SHERLOCK, Dear God. What’s it like inside your funny little brains? It must be so boring.
SHERLOCK," Her coat: slightly damp. She’s been in heavy rain in the last few hours. No rain anywhere in London until the last few minutes. Under her coat collar is damp, too. She’s turned it up against the wind. "
SHERLOCK," There’s an umbrella in her left pocket but it’s dry and unused: not just wind, strong wind – too strong to use her umbrella. We know from the suitcase that she intended to stay a night, so she must have come a decent distance but she can’t have travelled more than two or three hours because her coat still hasn’t dried. So, where has there been heavy rain and strong winds within the radius of that travel time?"
SHERLOCK, Cardiff.
SHERLOCK, D’you know you do that out loud?
LESTRADE, There was no suitcase.
SHERLOCK, I’m sorry?
LESTRADE, She had a handbag. Why’d you say she had a case?
SHERLOCK, Because she did. Her handbag – was there a mobile phone in it?
LESTRADE, No.
SHERLOCK, That’s odd. That’s very odd.
LESTRADE, Why?
SHERLOCK, Never mind. We need to find her case.
JOHN, How do you know she had a case?
 Back of the right leg," tiny splash marks above the heel and calf, not present on the left. She was dragging a wheeled suitcase behind her with her right hand. Don’t get that splash pattern any other way. Smallish case, judging by the spread. A case that size, woman this clothes-conscious: could only be an overnight bag, so we know she was staying the night."
JOHN," Maybe she checked into a hotel, left her case there."
SHERLOCK, She never made it to a hotel. Look at her hair. Colour-coordinates her lipstick and her shoes. A woman like that would never leave the hotel with her hair still looking that ...
SHERLOCK, Oh.
SHERLOCK, Oh!
JOHN, Sherlock?
LESTRADE," Well, we can’t just wait!"
SHERLOCK," Oh, we’re done waiting! When she was found, she couldn’t have been here long, is that right?"
LESTRADE," No, not long at all – um, less than an hour."
SHERLOCK, News blackout: can you do that? Don’t say that you’ve found her; nothing for a day.
LESTRADE, Why?
SHERLOCK," Look at her, really look! Houston, we have a mistake."
SHERLOCK, Back in a moment!
LESTRADE, Anderson!
ANDERSON, I’m here.
ANDERSON, So? What was the point in all that?
LESTRADE, We’re after a psychopath.
ANDERSON, So we’re bringing in another psychopath to help?!
LESTRADE, If that’s what it takes.
LESTRADE, All yours.
ANDERSON," Right, come on."
JOHN," My notes – d’you want me to, er ..."
LESTRADE," Sorry, you’re ...?"
JOHN, Doctor Watson.
LESTRADE," Well, you’re gonna have to go, Doctor Watson. Don’t need your notes."
LESTRADE," Okay, let’s get on with it."
DONOVAN," Okay, look, we’re gonna need Jones and Adams at the top of the road. There’s so many people around ..."
DONOVAN, He’s gone.
JOHN," What, Sherlock Holmes?"
DONOVAN, He just took off. He does that.
JOHN, Is he coming back?
DONOVAN, Didn’t look like it.
JOHN, Right.
JOHN, Right ... Yes.
JOHN," Um, sorry, where am I?"
JOHN," Right. D’you know where I’d, er, get a cab? It’s just, my leg."
DONOVAN, Hey.
JOHN, (stopping and turning back to her): Hmm.
DONOVAN, You’re not his friend – he doesn’t have friends – so who are you?
JOHN, Me? I’m ... I’m nobody. I just met him.
DONOVAN," Right, bit of advice then: stay away from that guy."
JOHN, Why?
DONOVAN," You know why he’s here? He’s not paid or anything. He likes it. He gets off on it. The weirder the crime, the more he gets off. And you know what? One day just showing up isn’t gonna be enough. One day we’ll be standing round a body and Sherlock Holmes’ll be the one who put it there."
JOHN, Why would he do that?
DONOVAN, Because he’s a psychopath. And psychopaths get bored.
DONOVAN, Stay away from Sherlock Holmes.
JOHN, Thanks.
DONOVAN, No worries.
 It reads, 
 The new message reads, 
 The latest message simply reads, 
TAXI DRIVER, You late or something?
TAXI DRIVER, Sorry. You just look a bit ... wired.
JOHN, What are you doing?
SHERLOCK, Nicotine patch. Helps me think. Impossible to sustain a smoking habit in London these days. Bad news for brain work.
JOHN," Well, it’s good news for breathing."
SHERLOCK, Breathing’s boring.
JOHN, Is that three patches?
SHERLOCK, It’s a three-patch problem.
JOHN, Well?
JOHN, You asked me to come. Took me an hour to get here. I assume it’s important.
SHERLOCK," Oh, yeah. Can I borrow your phone?"
JOHN, My phone?
SHERLOCK, Don’t wanna use mine. Always a chance the number will be recognised. It’s on the website.
JOHN, Mrs Hudson’s got a phone.
SHERLOCK," Yeah, but she’s downstairs. I tried shouting but she didn’t hear."
JOHN, Here. Here.
JOHN, So what’s this about – the case?
SHERLOCK, Her case.
JOHN, Her case?
SHERLOCK," Her suitcase, yes. The murderer took her suitcase. First big mistake."
SHERLOCK," It’s no use, there’s no other way. We’ll have to risk it."
JOHN, Risk what?
SHERLOCK, I want you to send a text.
JOHN, Who am I texting?
SHERLOCK," Never mind. On the table, the number, now, please."
JOHN, Maybe Sergeant Donovan was right about you.
JOHN, Said you were a psychopath.
SHERLOCK, Oh! Didn’t think she was that smart!
JOHN, She said one day they’re gonna show up at a murder scene and you’ll have provided the body.
 These words exactly, “What happened at Lauriston Gardens? I must have blacked out.”
SHERLOCK, “Twenty-two Northumberland Terrace. Please come.”
SHERLOCK, Well? Send it.
SHERLOCK, Have you sent it?
SHERLOCK, Take a look at the impossible.
SHERLOCK, The contents of her case.
JOHN, How did you get this?
SHERLOCK, By looking.
JOHN, Where?
SHERLOCK," We know the killer drove to Lauriston Gardens. We know the killer is a man. No man could be seen with this case without attracting attention to himself, so obviously he’d feel compelled to get rid of it the moment he knew it was still in his car. Wouldn’t have taken him more than five minutes to realise his mistake."
SHERLOCK, I checked every back street wide enough for a car within five minutes of Lauriston Gardens ...
SHERLOCK, ... and looked for anywhere you could easily dispose of a bulky object without being observed.
SHERLOCK, Took me less than an hour to find the right skip.
JOHN, Pink. You got all that because you realised the case’d be pink?
SHERLOCK, Because you’re stupid.
SHERLOCK," Oh no, don’t look like that. Practically everyone is."
SHERLOCK, Sent?
SHERLOCK, The contents of her case – look at them.
JOHN, What am I looking for?
SHERLOCK, The impossible. The one impossible thing.
JOHN," There’s a change of clothes, a make-up bag, a washbag and a novel. (He sits back.) What’s impossible?"
SHERLOCK, Her mobile phone. 
JOHN, There isn’t a mobile phone.
SHERLOCK," That’s what’s impossible. No mobile in her case, no mobile in her coat pocket."
JOHN," Well, maybe she doesn’t have one."
SHERLOCK, She has a string of lovers. Of course she has one.
JOHN, She could have left it at home.
SHERLOCK," Again, string of lovers. She never leaves her phone at home."
JOHN, And so where is it?
SHERLOCK," You know where it is. More importantly, you know who has it."
JOHN, The murderer?
JOHN, Who did I just text?
SHERLOCK," Maybe she just dropped it in the back of his car; maybe she planted it on purpose to lead us to him, but the murderer has her phone."
SHERLOCK, A few hours since his last victim. Now he’s received a text which can only be from her. An innocent man would ignore a text like that; assume it was a mistake. A guilty man ...
JOHN, Have you spoken to the police?
SHERLOCK, Five people are dead. There isn’t time to talk to the police.
JOHN, Then why are you talking to me?
SHERLOCK, You’re here.
SHERLOCK, Well?
JOHN, Well what?
SHERLOCK," Well, you could sit there and watch telly."
SHERLOCK, Problem?
JOHN, Sergeant Donovan.
SHERLOCK, What about her?
JOHN, Said you get off on this. You enjoy it.
JOHN, Damn it!
JOHN, Where are we going?
SHERLOCK, Northumberland Terrace is a five-minute walk from here.
JOHN," What, you think he’s stupid enough to go there?"
SHERLOCK, No – I think he’s brilliant enough. I love the brilliant ones – so desperate to get caught.
JOHN, Why?
SHERLOCK, Appreciation. At long last the spotlight. To you it’s an arrest; to them it’s a coming-out party. That’s the frailty of genius: it needs an audience.
JOHN, Yeah.
JOHN, Yes. I suppose it does.
SHERLOCK, Twenty-two Northumberland Terrace. Keep your eyes on it.
SHERLOCK, I am.
JOHN," But he’s not just gonna ring the doorbell, though, is he?"
SHERLOCK," No, of course not. But he’ll pass by; might even loiter."
JOHN, Half of London’s passing by.
SHERLOCK, I’ll recognise him.
JOHN, You know who he is?
SHERLOCK, I know what he is.
ANGELO," Anything on the menu, whatever you want, free."
ANGELO," All on the house, you and your date."
ANGELO, He got me off a murder charge.
SHERLOCK," This is Angelo. Three years ago I successfully proved to Inspector Lestrade that at the time of a particularly vicious triple murder, Angelo was in a completely different part of town, car-jacking."
SHERLOCK, I cleared it a bit.
SHERLOCK," Thank you, Angelo."
ANGELO," If not for you, I’d have gone to prison."
SHERLOCK, You did go to prison.
SHERLOCK, You may as well eat. We might be waiting a long time.
JOHN, Hmm. Are you going to?
SHERLOCK, What day is it?
JOHN, It’s Wednesday.
SHERLOCK, I’m okay for a bit.
JOHN," You haven’t eaten today? For God’s sake, you need to eat."
SHERLOCK," No, you need to eat. I need to think. The brain’s what counts. Everything else is transport."
JOHN, You might consider refuelling.
JOHN, So – d’you have a girlfriend who feeds you up sometimes?
SHERLOCK, Is that what girlfriends do: feed you up? 
JOHN," You don’t have a girlfriend, then?"
JOHN, Mm.
JOHN, Oh. Right. D’you have a boyfriend?
JOHN," Which is fine, by the way."
SHERLOCK, I know it’s fine.
JOHN, So you don’t have a boyfriend then?
SHERLOCK, No.
JOHN," Fine. Okay. So, unattached, like me. (He looks down at his menu, apparently rapidly running out of things to say.) Good."
SHERLOCK," John, you should know that I consider myself married to my work, and while I’m flattered by your interest, I’m really not looking for any kind of ..."
JOHN, I wasn’t asking you out. No.
JOHN," I’m just saying, it’s all fine. Whatever ... shakes your ... (he looks up in confusion as he searches for the right word) ... boat. I’m gonna shut up now."
SHERLOCK, I think that’s for the best.
JOHN, So ...
JOHN, ... you don’t ... do ... anything.
JOHN," No sign yet, then?"
SHERLOCK, I suppose it is a long shot. We have to be realistic.
JOHN, You said before you didn’t know who the killer was but you knew what.
SHERLOCK, So do you if you think about it. 
SHERLOCK, Why don’t people just think?
JOHN," Oh, because we’re stupid."
SHERLOCK," We know the killer drove his victims, but there were no marks of coercion or violence on the bodies. Each one of those five people climbed into a stranger’s car voluntarily. The killer was someone they trusted."
JOHN, But not someone they knew?
SHERLOCK," Five completely different people. They had no friends in common. And another thing: Lauriston Gardens, did you see it? Twitching curtains, little old ladies ... Little old ladies, they’re my favourite. Better than any security cameras. But according to the police, no-one remembers a strange car parked outside an empty house. Not one person remembered."
JOHN, I see what you’re saying.
JOHN, ... No I don’t. What are you saying: that the killer’s got an invisible car?
SHERLOCK, Yes. Yes! Exactly!
JOHN, Then I definitely don’t see what you’re saying.
SHERLOCK," There are cars that pass like ghosts, unseen, unremembered. There are people we trust, always, when we’re alone, when we’re lost, when we’re drunk. We never see their faces, but every day we disappear into their cars and let the trap close around us."
SHERLOCK," Angelo, glass of white wine, quickly."
SHERLOCK," I give you the perfect murder weapon of the modern age, the invisible car."
SHERLOCK, The London cab.
JOHN, There’s been cabs up and down this street all night.
JOHN, He’s looking for a fare.
JOHN, We don’t know it’s him.
SHERLOCK, We don’t know it isn’t.
SHERLOCK, Thank you.
SHERLOCK," Angelo, headless nun."
ANGELO," Ah, now that was a case!"
ANGELO, Same again?
SHERLOCK, If you wouldn’t mind.
ANGELO, Out of my restaurant! Cretino! You’re drunk!
ANGELO, And stay away!
JOHN, What’s he doing?
ANGELO, Sherlock’s on the case. Bad news for bad people.
CABBIE," Sorry, mate, off duty."
SHERLOCK, Two two one ... (he stifles a burp) ... B Baker Street.
CABBIE," I’m not on duty, mate. You see the light?"
SHERLOCK, Jus’ round the corner! It’s Baker Street!
CABBIE, There’s plenty of other cabs round ’ere. Get another cab.
SHERLOCK, Two two one B!
CABBIE," I’m not on duty, an’ I don’t do drunks."
CABBIE, ’ello?
CABBIE, What? What did ... what did you say?
SHERLOCK," I said, how do you make them take the poison?"
SHERLOCK, Sherlock Holmes.
CABBIE," Do a lot of drugs, Sherlock ’olmes?"
SHERLOCK, Not in a while.
CABBIE, I ask ’cause you’re very resilient.
CABBIE, Most people would have passed out by now.
ANGELO, It’s okay. All part of the plan.
CABBIE, It’s okay. He’s just had a few.
CABBIE, Look at the state of ’im!
CABBIE," Trouble is, your friends all think you’re acting."
CABBIE, That’s the thing about people.
CABBIE, They’re all stupid.
JOHN, Something’s gone wrong.
ANGELO," No, no, no. All part of the plan."
ANGELO, Sherlock always has a plan.
JOHN," Yes, and it’s gone wrong."
CABBIE," I ’ope you don’t mind. Well, you gave me your address."
CABBIE, You’ve only been out for about ten minutes.
CABBIE, You’re strong. I’m impressed.
CABBIE, That’s right – you warm yourself up. I made everything nice and cosy for you.
CABBIE," Course it is, yeah. (He takes a set of keys from his trouser pocket and holds them up.) Found your keys in your jacket. I thought, well, why not? People like to die at ’ome."
CABBIE," Now, now. The drug’s still in your system. (He walks closer and looks down at Sherlock.) You’ll be weak as a kitten for at least an hour."
CABBIE," I could do anything I wanted to you right now, Mr ’olmes."
CABBIE, Anything at all.
CABBIE, But don’t worry. I’m only gonna kill yer.
CABBIE," The whole ’ouse is empty. Even your landlady’s away, so there’s no point in raising your voice. We’re all locked in, nice and snug."
SHERLOCK," Still, bit of a risk, isn’t it? Here?"
CABBIE, You call that a risk?
CABBIE, This is a risk.
CABBIE, You wanted to know ’ow I made ’em take the poison.
CABBIE, You’re gonna love this!
SHERLOCK, How?
CABBIE, Take a moment.
CABBIE, Get yourself together. I want your best game.
SHERLOCK, My ... my best what?
CABBIE," I know who you are, Mr ’olmes."
CABBIE," The moment you said your name, I knew. Sherlock ’olmes."
CABBIE, I’ve been on your website loads of times. You are brilliant.
CABBIE, You are. Proper genius.
CABBIE," “The Science of Deduction.” Now that is proper thinking. Between you and me, why can’t people think?"
CABBIE, Don’t it drive you mad? Why can’t people just think?
SHERLOCK, Who are you?
CABBIE, Nobody. (He looks down at Sherlock.) For now.
CABBIE," But I won’t die a nobody, now will I?"
SHERLOCK, Two pills.
CABBIE," There’s a good pill and a bad pill. You take the good pill, you live; take the bad pill, you die."
SHERLOCK, And you know which is which.
CABBIE, Course I know.
SHERLOCK, But I don’t.
CABBIE, Wouldn’t be a game if you knew. You’re the one who chooses.
SHERLOCK, It’s not a game. It’s chance.
CABBIE," I’ve played five times. I’m alive. It’s not chance, Mr ’olmes, it’s chess. It’s a game of chess, with one move, and one survivor. And this ... this is the move."
CABBIE, Did I just give you the good pill or the bad pill? You can choose either one.
SHERLOCK," That’s what you did, to all of them. You gave them a choice."
CABBIE," You’ve gotta admit: as serial killers go, I’m verging on nice! Anyway, time’s up. Choose."
SHERLOCK, And then?
CABBIE," And then, together, we take our medicine."
CABBIE, Let’s play.
CABBIE," You’re not playin’ the numbers, you’re playin’ me. Did I just give you the good pill or the bad pill?"
CABBIE, Is it a bluff? Or a double-bluff? Or a triple-bluff?
CABBIE, Five people in a row? It’s not chance.
SHERLOCK, It’s luck.
CABBIE," It’s genius. I know ’ow people think. I know ’ow people think I think. I can see it all, like a map in my ’ead."
CABBIE, Everyone’s so stupid – even you.
CABBIE," Course, maybe God just loves me."
SHERLOCK," Either way, you’re wasted as a cabbie."
SHERLOCK, How did you choose which ones?
CABBIE," Anyone who didn’t know where they were going, ’cause they were drunk or lost or new in town."
CABBIE, Anyone I could walk through the wrong door.
SHERLOCK, You risked your life five times just to kill strangers.
SHERLOCK," You’re dying, aren’t you?"
CABBIE, So are you.
SHERLOCK," You don’t have long, though. Am I right?"
CABBIE, Aneurism.
CABBIE, Right in ’ere.
